Course	Subject	Room	Teacher	Time	Students
144	BIOL1	PK20	44	4	143 152 157 204 206 212 275 423 459 655 658 758 775 797 802 804 819 824 880 883 932 946 955 958 959 968 997 1006 1007 1012 1058 1066 1076 1083 1093 1101 1105 1111 1112 1121 1122 1124 1127 1129 1133 1134 1144 1146 1158 1161 1165 1170 1182 1183 1184 1185 1203 1205 1206 1215 1216 1217 1229 1247 1249 1256 1257 1263 1288 1311 1328 1330 1350 1352 1379 1390 1405 1489 
145	GEOL1	PK179	104	7	5 14 145 205 273 406 415 633 658 719 729 873 876 910 1021 1313 
146	FREN0	PK179	59	13	146 235 236 239 309 318 440 530 1094 1113 1126 1178 1388 1496 
147	POLS2	TAYF	105	1	204 341 609 723 829 905 1358 1429 
148	SPAN1	DAL119	11	12	149 186 188 204 310 362 663 776 948 1163 1185 1207 1238 1266 1270 1275 1346 1376 1506 
149	ARCH1	DAL119	106	13	150 177 273 312 503 536 647 758 774 955 1075 1099 1156 1209 1224 1413 1500 1544 
150	ECON1	PK20	100	6	138 150 173 211 215 231 367 424 445 463 468 475 543 640 675 681 730 935 951 988 1066 1071 1073 1086 1090 1099 1106 1121 1123 1135 1137 1145 1147 1149 1155 1164 1191 1193 1195 1208 1236 1251 1271 1273 1282 1284 1285 1287 1299 1305 1308 1310 1314 1317 1318 1321 1336 1379 1389 1444 1512 1564 1619 
151	ENVS1	PK25	31	15	82 154 230 393 430 603 695 1195 1206 1217 1244 1292 1335 1346 1378 1409 1418 1471 
152	HIST2	PK243	71	3	171 472 478 515 700 1054 1082 1575 
153	SPAN0	PK278	107	2	157 180 181 202 208 214 217 281 300 415 416 447 656 660 800 999 1065 1070 1081 1083 1116 1159 1199 1214 1241 1244 1267 1269 1299 1306 1329 1386 1387 1512 
154	BIOL2	TAYF	108	2	158 236 696 761 851 1481 1492 
155	PHYS1	PK278	92	11	41 164 199 202 227 232 278 316 363 371 498 521 535 969 1104 1136 1148 1166 1202 1255 1267 1279 1293 1297 1301 1304 1316 1318 1325 1326 1372 
156	CHEM2	DAL300	83	13	153 165 275 334 361 651 654 713 732 882 899 1484 1562 
157	EALC3	TAYE	80	16	166 542 885 
158	PHIL2	CARP21	105	9	221 318 368 373 439 670 674 782 929 
159	ANTH2	DAL300	10	6	122 157 182 217 276 413 440 444 459 536 648 731 802 990 
160	ANTH2	PK349	109	1	82 185 390 485 686 924 1004 1474 
161	CITY2	PK234	53	8	186 618 860 954 1498 1628 
162	ARTW2	PK179	110	14	13 210 273 302 317 405 415 481 538 741 780 910 962 1027 1608 
163	GERM0	DAL119	111	14	185 203 237 365 439 930 953 1104 1115 1222 1238 1249 1261 1285 1307 1309 1391 1572 
164	FREN1	PK25	18	16	192 577 593 772 932 941 1040 1139 1140 1192 1220 1224 1277 1340 1342 1515 
165	POLS2	DAL119	112	15	178 252 279 291 298 319 723 773 820 855 869 998 1339 1353 1485 1490 1561 1577 1587 
166	ARTW2	DAL315	113	3	193 198 418 613 620 757 789 806 948 1189 1501 1520 
167	HART2	TH110	94	13	203 218 467 1635 
168	HART2	TAYF	114	3	203 280 513 716 807 1170 1461 1484 
169	POLS2	DAL315	115	4	377 400 416 478 773 980 1239 1490 1541 1603 
170	ARTT3	PK234	116	9	105 210 404 552 576 
171	CITY3	PK349	117	15	46 214 427 864 1361 1595 
172	ANTH1	PK20	66	8	163 178 182 198 206 218 280 306 362 457 475 575 656 670 707 715 761 765 771 827 838 879 889 962 1069 1072 1075 1095 1114 1124 1154 1165 1177 1222 1232 1243 1258 1272 1275 1281 1333 1346 1353 1390 1399 1402 1431 1462 1496 1500 1528 1552 
173	PSYC2	DAL119	32	3	221 315 334 365 385 537 598 604 644 884 952 953 995 1091 1157 1364 1383 1506 1596 
174	ARTD2	PK180	118	10	223 569 
175	PHYS2	PK179	119	15	226 364 373 380 483 607 701 705 767 800 881 949 1015 1252 1259 1511 
176	ITAL1	PK243	50	4	231 397 467 681 726 977 1072 1360 1510 
177	ARAB0	PK179	120	16	238 252 376 406 417 545 574 647 799 820 945 996 1113 1158 1350 1521 
178	COML2	DAL315	20	12	80 242 313 531 584 638 769 771 797 931 1494 1529 
179	PHYS3	PK234	119	10	245 268 633 834 849 1453 
180	PSYC3	TAYF	61	4	246 286 539 605 667 695 1531 1543 
181	SPAN1	PK25	74	17	136 255 262 308 322 657 662 728 960 1011 1102 1103 1138 1160 1255 1258 1436 
182	RUSS2	PK349	29	3	260 414 421 477 571 640 810 1373 
183	ARTD2	PK234	55	11	223 266 287 356 863 882 
184	ECON2	PK243	121	5	89 269 352 801 892 1003 1008 1331 1513 1559 
185	ITAL0	DAL119	122	16	274 483 548 551 653 1097 1118 1156 1171 1177 1198 1237 1284 1295 1302 1323 1354 1359 1467 
186	GNST2	PK179	123	17	43 119 197 283 284 392 527 852 873 973 1056 1067 1187 1245 1274 1518 
187	ARTD3	TH110	124	14	263 287 356 1013 
188	POLS2	CARP21	103	10	147 179 649 681 790 1017 1078 1241 1286 1308 
189	ITAL3	TAYE	49	17	291 383 747 
190	HIST1	CARP21	80	11	156 296 436 484 487 607 850 1036 1109 1392 1504 
191	MATH3	PK278	125	12	23 52 128 137 151 173 217 278 297 389 460 480 516 568 582 634 673 718 777 801 856 887 908 909 918 930 1010 1358 1477 1480 1511 1512 1611 
192	HIST1	DAL119	4	8	137 265 304 430 504 583 832 937 1098 1112 1263 1367 1463 1480 1632 1634 
193	HART1	DAL315	126	13	305 342 352 593 734 752 933 989 994 1445 1509 
194	GREK2	PK349	97	16	307 332 489 830 888 906 1452 
195	CSTS2	DAL300	81	7	307 320 332 411 478 508 536 652 746 757 808 1181 1452 1601 
196	ARTD1	TAYF	127	5	321 433 569 893 969 1012 1013 
197	ENGL1	PK234	128	12	312 1136 1219 1264 1311 1330 
198	PHIL3	TH110	101	15	2 318 1030 1468 
199	MATH2	CARP21	129	12	26 274 321 453 574 627 655 804 1140 
200	PHIL3	TAYE	91	8	330 341 455 509 
