Course	Room	Teacher	Time	Students
178	DAL204	38	3	216 250 270 321 328 369 372 373 375 376 381 405 416 419 420 432 456 488 533 590 694 
179	PK243	115	5	219 245 1101 
180	DAL204	109	9	221 462 508 520 537 609 670 697 721 729 731 762 777 784 811 844 852 864 869 936 949 1081 1082 
181	PK336	112	11	226 317 374 415 431 434 437 497 574 
182	DAL204	44	14	228 322 522 525 594 600 605 697 712 722 724 749 758 822 865 916 925 951 1034 1079 1092 
183	PK229	114	5	250 287 369 504 528 533 567 590 662 754 762 868 1004 
184	TH224	116	1	254 288 415 538 581 
185	PK336	63	17	258 297 607 658 760 860 934 
186	TH224	117	3	274 355 412 413 
187	DAL204	67	15	275 402 479 501 639 652 671 677 719 734 785 788 792 839 915 954 980 1003 1070 1099 
188	TAYD	118	1	276 422 637 1052 1075 
189	PK180	112	6	277 379 435 552 559 578 594 614 792 830 833 
190	EHLEC	119	1	279 
191	EHLEC	20	11	279 
192	PK243	94	6	279 390 477 
193	EHLEC	38	2	283 725 
194	PK180	99	15	292 294 637 736 776 814 1056 1060 1076 1102 
195	TAYF	120	6	295 363 611 810 
196	TAYE	121	13	304 792 800 866 886 
197	PK243	97	7	628 1085 
198	EHLEC	113	10	304 
199	EHLEC	122	3	306 716 
200	EHLEC	2	12	309 
201	TAYF	49	7	312 543 718 969 
202	TAYD	8	15	312 483 496 680 718 789 865 
203	EHLEC	123	4	316 622 
204	TH224	124	4	320 1016 
205	PK338	125	1	322 475 493 494 521 522 524 571 573 630 632 641 642 655 664 670 671 674 690 702 717 723 734 742 749 763 772 774 775 776 780 781 788 789 791 793 795 802 804 808 819 824 826 827 836 837 843 847 858 860 861 862 865 866 868 869 870 871 872 873 874 875 876 877 878 879 881 882 883 884 886 887 888 889 890 891 892 893 894 895 896 897 898 899 900 901 902 903 904 905 906 907 908 909 910 911 912 913 914 915 
206	TAYE	105	15	328 596 646 691 737 869 
207	PK243	126	8	332 738 805 
208	EHLEC	123	5	393 
209	DAL204	1	11	356 362 609 624 655 670 784 793 852 869 873 893 902 935 937 940 952 1004 1094 1102 
210	TH224	127	5	356 
211	PK180	128	16	360 706 726 745 948 996 1054 1055 1068 
212	PK25	129	4	362 379 428 457 472 494 513 515 556 587 630 634 636 644 684 809 811 828 844 852 882 895 904 923 959 962 993 997 1035 
213	PK243	119	9	367 599 823 
214	TAYD	25	16	368 431 497 857 878 911 
215	TAYF	119	8	371 575 618 704 
216	PK180	64	7	373 832 858 862 884 1006 1045 1087 1091 1097 
217	TH110	83	9	379 383 404 423 536 551 574 602 614 615 693 724 766 787 834 
218	TH110	89	14	389 493 494 571 776 836 913 1011 1015 1049 1083 1090 1104 
219	PK243	23	10	394 402 673 
220	PK180	94	17	508 557 655 675 784 811 893 938 1085 
221	EHLEC	68	15	410 
222	EHLEC	110	6	412 473 
223	EHLEC	119	13	433 
224	TAYD	124	2	479 763 804 901 941 1022 1098 
225	TH224	103	6	491 603 740 805 992 
226	EHLEC	6	14	553 
227	EHLEC	95	7	565 
228	PK229	94	15	573 793 806 819 861 866 886 1005 1018 1057 1094 
229	PK338	130	15	588 599 610 632 641 651 664 675 690 717 772 795 808 827 837 876 877 879 880 882 883 898 905 907 908 933 942 946 948 953 964 971 983 1007 1019 1020 1040 1072 1079 1084 1093 1103 
230	TAYD	58	17	597 606 660 706 710 740 741 
231	EHLEC	27	17	616 
232	PK243	121	11	620 838 
233	TH224	120	7	653 775 778 857 
234	TAYE	75	1	707 864 885 1016 1032 1091 1097 
235	PK349	131	12	717 772 826 907 908 978 991 1016 1018 1019 1026 1070 1072 1103 
236	EHLEC	74	16	760 
237	CARP25	64	1	778 
238	TAYE	115	14	830 1008 1017 1038 1093 
239	TAYF	120	9	860 881 927 989 
240	CARP25	76	2	864 
241	CARP25	132	3	1012 
