Course	Room	Teacher	Time	Students
86	PK336	49	11	57 474 506 669 713 849 921 1090 
87	TAYF	68	14	58 671 
88	PK278	69	11	355 414 582 749 792 948 1009 1016 1017 1023 1028 1030 1032 1040 1072 1086 1452 1499 1500 1591 1592 1643 
89	PK338	70	14	59 74 106 127 146 151 152 162 234 275 444 543 571 579 591 617 620 649 717 801 1000 
90	EHLEC	71	17	59 1063 
91	TAYF	72	13	60 531 844 
92	PK234	71	5	60 210 309 317 711 745 782 977 1374 1460 
93	DAL315	73	2	61 672 833 875 899 943 999 1036 1351 1463 1467 1551 
94	PK349	74	7	63 87 99 153 165 167 169 187 195 231 234 294 314 325 329 331 338 386 409 445 465 495 510 526 548 575 584 595 643 653 723 728 741 802 862 892 1574 
95	PK20	75	12	64 128 131 207 247 270 327 365 410 427 487 491 522 601 654 718 722 752 776 808 984 1081 1123 1130 1161 1174 1179 1182 1198 1201 1202 1211 1225 1236 1240 1270 1322 1332 1342 1348 1356 1371 1381 1384 1389 1393 1403 1425 1541 1559 1584 
96	PK25	76	13	64 114 156 179 196 278 350 381 430 533 598 603 647 905 908 1477 
97	PK243	77	4	68 83 144 161 190 302 676 856 988 1426 1438 1457 
98	EHLEC	52	13	71 88 110 
99	PK278	78	12	71 72 87 101 103 244 252 266 351 359 430 438 468 568 667 693 715 729 734 735 757 1595 
100	DAL300	79	15	71 188 258 445 592 626 
101	DAL315	80	8	73 143 150 172 195 198 303 310 320 324 405 1475 
102	PK234	81	3	78 148 149 187 235 295 362 1542 1586 
103	DAL300	72	2	78 292 822 928 1407 1446 
104	PK243	49	7	76 79 276 316 511 610 974 1367 1396 1604 
105	PK338	22	5	11 79 89 174 189 205 455 588 617 641 843 956 981 1074 1076 1564 
106	PK243	82	8	81 173 175 183 186 397 416 447 612 708 745 
107	CARP25	66	7	81 569 694 1254 
108	TAYF	83	15	1 82 859 
109	TAYF	84	6	82 112 115 957 1540 
110	PK179	82	3	83 240 328 368 452 761 765 1127 1154 1220 1287 1290 1483 1512 1557 
111	CARP25	85	14	83 977 
112	PK234	39	6	20 85 100 101 277 353 469 513 806 1637 
113	DAL119	34	1	89 252 361 460 499 543 1482 1502 
114	PK25	86	1	90 173 215 221 260 284 330 628 767 788 818 825 842 862 927 980 1013 1024 1039 1049 1587 
115	DAL315	87	9	92 287 515 549 631 778 877 912 973 1024 1052 1495 
116	PK25	88	8	72 94 165 220 257 351 382 417 450 455 662 872 918 1010 1272 1444 1580 
117	CARP21	81	17	80 84 94 104 113 165 295 455 627 629 918 924 1486 
118	DAL119	32	8	14 95 212 408 484 640 928 1411 
119	PK234	89	7	96 116 126 179 188 201 481 699 852 893 
120	PK25	90	2	102 208 251 361 419 453 540 541 602 631 683 771 836 916 940 1007 1495 1534 1614 1634 
121	PK179	29	12	102 148 187 203 379 383 470 508 532 681 687 690 724 730 1439 1586 
122	TAYF	67	9	103 187 
123	PK20	91	15	67 70 81 108 121 139 144 155 185 190 206 236 241 274 280 282 326 333 337 375 399 408 412 428 433 469 470 484 504 535 547 591 657 668 686 695 766 769 799 831 952 965 1085 1465 1484 1528 
124	PK25	92	3	111 549 595 615 633 645 719 787 817 837 912 956 1039 1049 1088 1459 1570 1580 
125	PK338	93	2	112 202 329 402 693 1092 1165 1174 1228 1248 1249 1252 1265 1279 1283 1287 1305 1362 1392 1393 
126	PK25	94	12	112 125 188 246 296 385 452 599 613 641 985 1037 1089 1287 1441 1461 
127	DAL300	4	14	116 542 590 706 712 848 1630 
128	PK179	95	8	112 117 193 204 503 509 961 997 1056 1061 1062 1065 1075 1488 1504 1555 1561 
129	PK234	96	14	44 120 167 527 599 680 895 908 914 
130	PK20	97	2	122 149 163 212 228 229 246 250 253 304 313 342 344 371 377 384 406 412 450 468 555 558 559 585 622 645 648 660 661 662 721 747 761 770 775 780 783 788 976 1011 1014 1055 1079 1103 1121 1126 1127 1132 1134 1137 1140 1141 1145 1148 1150 1155 1157 1167 1168 1175 1189 1192 1193 1195 1203 1206 1209 1218 1226 1230 1233 1242 1246 1270 1295 1297 1313 1319 1323 1326 1337 1343 1344 1348 1356 1363 1365 1367 1368 1370 1374 1378 1380 1384 1385 1387 1395 1400 1413 1417 1419 1422 1433 1434 1435 1441 1483 1508 1517 1583 1608 
131	PK234	98	8	46 122 132 309 442 534 704 746 1059 1443 
132	DAL315	99	10	123 134 157 222 346 357 362 387 597 838 1235 
133	PK338	100	6	128 266 396 416 510 520 594 715 750 940 945 1031 1103 1114 1224 1251 1264 1271 
134	PK349	14	17	131 186 264 283 315 341 352 484 582 589 618 695 781 959 1263 1318 1329 1353 1363 1444 1452 1492 1533 1611 1642 
135	PK243	101	6	134 235 267 295 552 582 597 627 1018 1066 1426 
136	TAYF	102	16	72 134 605 
137	DAL300	47	16	136 194 312 556 734 934 937 
138	PK179	103	4	138 237 413 468 526 736 931 1019 1040 1050 1051 1136 1177 1477 1511 1516 1562 
139	DAL315	104	4	100 140 158 400 629 677 696 850 909 917 953 1090 1533 
140	PK349	7	14	139 142 144 160 174 176 181 185 190 200 341 375 420 547 550 559 563 606 668 676 682 695 697 702 709 828 
141	PK20	26	3	141 143 203 219 222 232 244 245 254 320 367 399 408 411 432 483 490 569 581 583 619 635 647 655 656 664 688 740 755 756 757 784 786 871 976 1044 1105 1109 1113 1116 1125 1137 1140 1144 1151 1153 1155 1156 1159 1163 1176 1177 1182 1185 1192 1196 1205 1209 1213 1215 1232 1237 1238 1239 1244 1247 1274 1278 1296 1315 1325 1329 1337 1338 1339 1342 1344 1357 1364 1378 1383 1393 1397 1399 1400 1401 1412 1419 1425 1478 1493 1618 
142	PK278	68	3	146 159 188 189 247 291 315 378 504 525 580 617 706 781 813 819 826 838 848 880 933 987 1352 1551 
143	PK349	105	13	165 181 184 229 337 358 375 376 395 449 456 465 488 563 589 774 791 793 886 899 951 954 994 1044 1099 1100 1547 
144	DAL119	1	14	149 214 259 518 1035 1424 
145	PK20	74	6	137 150 178 204 218 233 247 249 261 262 310 327 335 363 373 401 405 439 448 462 464 494 500 516 525 542 557 604 611 632 639 644 650 671 722 763 1009 1016 1021 1022 1070 1129 1136 1162 1165 1178 1198 1210 1211 1212 1240 1254 1259 1260 1273 1317 1320 1325 1327 1330 1349 1362 1364 1376 1377 1389 1406 1418 1421 1474 1607 
146	CARP25	50	1	151 251 441 549 1053 1411 
147	CARP21	106	15	147 153 476 652 681 743 758 773 810 815 995 1215 1507 1638 
148	PK243	107	9	155 223 357 358 431 459 649 959 971 1535 
149	DAL119	36	15	156 229 434 555 627 744 1501 
150	DAL119	37	9	97 156 436 927 972 1572 
151	DAL300	15	3	158 463 1010 1170 1224 1301 
152	PK179	108	13	105 159 186 313 335 355 371 478 518 580 748 804 958 1101 1483 1603 
153	PK278	109	10	101 162 169 173 210 363 367 402 658 684 771 1115 1123 1131 1162 1183 1187 1207 1217 1227 1424 1447 1472 
154	PK234	20	4	99 162 250 292 314 443 614 692 1101 1312 
155	DAL119	110	7	163 491 624 776 1081 
156	PK25	111	15	165 288 298 351 501 537 569 702 737 797 820 886 924 949 1099 1446 1585 
157	PK349	23	11	74 166 259 277 378 437 640 658 678 719 746 754 778 787 927 1007 1013 1014 1024 1119 1219 1256 1264 1285 1422 1433 1606 1628 1629 
158	PK278	112	13	168 211 579 636 762 891 966 975 992 1078 1168 1179 1202 1234 1268 1275 1291 1315 1340 1416 1487 1599 
159	TH224	113	4	135 168 285 286 585 915 1610 
160	PK278	8	14	173 215 256 330 673 696 749 1131 1140 1149 1164 1179 1191 1208 1231 1327 1337 1343 1394 1415 
161	PK243	52	11	167 174 385 558 703 758 902 903 934 1538 
162	DAL119	46	12	139 174 547 580 702 922 
163	PK338	114	12	338 573 1111 1118 1129 1134 1199 1252 1281 1284 1302 1414 1416 1420 
